Symbol	Description
CRVP	Crystal Rock Holdings Inc.
CSD	Claymore Exchange-Traded Fund Trust
CSJ	ISHARES LEHMAN 1-3 Y
CSLS	CREDIT SUISSE LONG SHORT LIQUID
CSM	Structured Product Morgan Stanley
CSMA	Credit Suisse AG ETN due Octobe
CTO	Consolidated-Tomoka Land Co.
CTP	CTPartners Executive Search Inc.
CUO	Continental Materials Corporation
CUR	Neuralstem Inc.
CUT	Claymore Exchange-Traded Fund Trust 2
CVF	Castle Convertible Fund Inc.
CVM	Cel-Sci Corporation
CVOL	C Tracks Exchange Traded Notes
CVR	Chicago Rivet & Machine Co.
CVU	CPI Aerostructures Inc.
CVY	Claymore Exchange-Traded Fund Trust
CWB	SPDR BARCLAY CV BD E
CWI	streetTRACKS Index Funds
CXA	SPDR Series Trust
CXM	Cardium Therapeutics Inc.
CXZ	Crosshair Exploration & Mining Corp
CYB	CYBEX INTERNATIONAL, INC.
CZA	Claymore Exchange-Traded Fund Trust
CZI	DIREXION
CZM	DIREXION
DAG	DB AGRI DBL LONG ETN
DBA	PowerShares DB Multi-Sector Commodity Trust
DBB	PowerShares DB Multi-Sector Commodity Trust
DBC	PowerShares DB Commodity Index Tracking Fund
DBE	PowerShares DB Multi-Sector Commodity Trust
DBN	WISDOMTREE INTERNATI
DBO	PowerShares DB Multi-Sector Commodity Trust
DBP	PowerShares DB Multi-Sector Commodity Trust
DBS	PowerShares DB Multi-Sector Commodity Trust
DBU	WISDOMTREE INTERNATI
DBV	PowerShares DB G10 Currency Harvest Fund
DBY	MORGAN STANLEY
DBZ	MORGAN STANLEY
DDG	ProShares Trust
DDM	ProShares Trust
DDP	DB COMMODTY SHRT ETN
DEE	DB COMMODITY DS ETN
DEF	Claymore Exchange-Traded Fund Trust
DEJ	Dejour Enterprises Ltd
DEM	WISDOM TREE TRUST $0.001
DENT	DENT TACTICAL
DES	WISDOMTREE SC DIV
DEW	WISDOMTREE EU HI YLD
DFE	WISDOMTREE EU SC DIV
DFF	Bank of America Corporation MIT
DFJ	WISDOMTREE JAP SC
DGL	PowerShares DB Multi-Sector Commodity Trust
DGP	DB GOLD DBL LG ETN
DGS	WISDOMTREE EM MKTS
DGSE	DGSE Companies Inc.
DGT	streetTRACKS Dow Jones Global Titans Index Fund
DGZ	DB GOLD SHORT ETN
DHS	WISDOMTREE H-Y EQ TR
DHY	Credit Suisse High Yield Bond Fund
DIA	DIAMONDS Trust Series I
DIG	ProShares Trust
DIM	WISDOMTREE INTL MC
DIT	AMCON Distributing Company
DJCI	Ubs E-Tracs DJ-UBS Commodity Idx
DJP	Morgan Stanley Dean Witter & Co.
DKA	WISDOMTREE INTERNATI
DLA	Delta Apparel Inc.
DLBL	iPath US Treasury Long Bond Bul
DLBS	iPath US Treasury Long Bond Bea
DLN	WISDOMTREE LC DVDND
DLS	Del Laboratories, Inc.
DMC	Document Security Systems Inc.
DMF	Dreyfus Municipal Income Inc.
DND	WisdomTree Pacific ex-Japan Total Dividend Fund
DNH	WisdomTree Pacific ex-Japan High-Yielding Equity Fund
DNL	WisdomTree Japan High-Yielding Equity Fund
DNN	Intl Uranium Corp
DNO	U S SHORT OIL FUND
DOD	ELEMENTS DOGS OF DOW
DOG	ProShares Trust
DOL	WISDOMTREE INTL LC
DON	WISDOMTREE MC DIV
DOO	WisdomTree International Dividend Top 100 Fund
DPK	DEVELOPED MKTS BEAR3
DPP	Morgan Stanley
DPU	DB COMMODITY LONG ET
DPW	Digital Power Corporation
DRJ	Dreams Inc.
DRN	DIREXION DAILY REAL
DRR	MORGAN STANLEY
DRV	Debt Resolve Inc
DRW	WisdomTree Trust
DSI	iShares Trust
DSTJ	JPMorgan Double Short US Long B
DSXJ	Jpmorgan Double Short US 10 Yea
DTD	WISDOMTREE TTL DIV
DTH	WISDOMTREE DIEFA HY
DTN	WISDOMTREE DIV 100
DTO	POWERSHARES DB CRUDE
DTUL	iPath US Treasury 2 Yr Bull ETN
DTUS	iPath US Treasury 2 Yr Bear ETN
DTYL	iPath US Treasury 10 Yr Bull ET
