Symbol	Description
ALRS.OB	Alerus Financial Corp
ALRT.OB	Alr Technologies Inc
ALRX.OB	Alpharx Inc
ALRY.OB	Allenergy Inc [Ok]
ALSC.OB	Alliance Semicon
ALSE.OB	Alseres Pharmaceutcl
ALSMY.OB	Alstom S.A.
ALSO.OB	Absolute Life Solutions Inc
ALSSF.OB	Alsea Sa
ALSWF.OB	Absolute Software Cp
ALTAF.OB	Altura Mining
ALTKY.OB	Altran Tech Sa Adr
ALTM.OB	Alternate Mktg
ALTNF.OB	Alterian Plc
ALTO.OB	Alto Group Holdings
ALTSF.OB	Alturas Minerals Com
ALTUQ.OB	Altus Pharmaceutical
ALTX.OB	Altex Industries Inc
ALVFF.OB	Alternative Fuel Sys
ALVLF.OB	Alto Ventures Ltd
ALXDF.OB	Alexandria Minerals
ALYI.OB	Alternet Systems Inc
ALZTF.OB	Aldershot Res Ltd
AMADF.OB	Amadeus It Holding S
AMAR.OB	Amarillo Biosciences
AMBE.OB	Amber Resources Co
AMBK.OB	American Bank Inc
AMBKP.OB	Amer Cap Tr I 6% Pfd
AMBWQ.OB	Amf Bowling Inc
AMBZ.OB	American Business Bank
AMCBF.OB	Amec Plc Ord
AMCBY.OB	Amec Plc Sp Adr
AMCG.OB	Amico Games Corp
AMCRF.OB	Amcor Ltd Ord
AMCRY.OB	Amcor Ltd Adr
AMCY.OB	American Cryostem Co
AMEH.OB	Apollo Medical Holdings Inc.
AMEL.OB	Amerilithium Corp
AMEN.OB	Amen Properties Inc.
AMERF.OB	American Cons Min
AMFC.OB	A M B Financial Cp
AMFE.OB	Amfil Technologies
AMFIQ.OB	Amcore Financial Inc
AMFPF.OB	Amplifon Spa Milano
AMGI.OB	American Mold Guard Inc.
AMGIW.OB	Amer Mold Warrant A
AMGIZ.OB	Amer Mold B Warrant
AMGU.OB	Ads Media Group New
AMGY.OB	American Metal & Tec
AMGZO.OB	Amg Cap Tr I Pf
AMHD.OB	Amelot Holdings Inc
AMHFF.OB	Amanta Resources Ltd
AMHN.OB	Amhn Inc
AMHPF.OB	Amazon Mining Hldg
AMIGF.OB	Admiral Group Plc
AMIGY.OB	Admiral Group Plc
AMIN.OB	American Intl Ind
AMIQF.OB	Ami Resources Inc
AMKAF.OB	A.P. Moeller Maers A
AMKBF.OB	A.P. Moeller Maers B
AMKT.OB	Ace Marketing & Prom
AMLH.OB	American Leisure Hld
AMLJ.OB	A M L Commun Inc
AMLM.OB	American Lithium Min
AMLTF.OB	Amp Limited
AMLTY.OB	Amp Ltd Unsp Adr
AMLZF.OB	African Minerals Ltd
AMMG.OB	Amarium Tech Inc
AMMS.OB	American Media Systm
AMMX.OB	Ameramex Intl Inc
AMNE.OB	American Green Group
AMNF.OB	Armanino Foods New
AMNG.OB	The Amergence Grp
AMNL.OB	Applied Minerals Inc
AMNP.OB	American Sierra Gold
AMNT.OB	Amish Naturals Inc
AMNZF.OB	Ambrian Capital Plc
AMOAQ.OB	Amer Mtg Acc Co Sbi
AMOK.OB	Amarok Resources Inc
AMOVF.OB	America Movil A Shs
AMPC.OB	Amp Productions Inc
AMPD.OB	Amp Holding Inc.
AMPE.OB	Ampio Pharmaceutical
AMPW.OB	American Power Corp
AMRU.OB	Amaru Inc.
AMSA.OB	Amer Srs Assoc Hldg
AMSIY.OB	Arcelormittal Adr
AMSJF.OB	Advanced Medical Sol
AMSLF.OB	Aeromechanical Svcs
AMST.OB	Amstem  Corporation
AMSU.OB	Amanasu Environment
AMSYF.OB	Arcelormittal Sa New
AMTA.OB	Amistar Corp
AMTVF.OB	Automotive Component
AMTY.OB	Amerityre Corp
AMUC.OB	American Utilicraft
AMUG.OB	American United Gold
AMVGF.OB	Amvig Holdings Ltd
AMWK.OB	Ameristar Network In
AMWKD.OB	Ameristar Network In
AMWT.OB	Amwest Ins Gp Inc
AMWW.OB	Aims Worldwide Inc
AMXEF.OB	Exploration Amex Inc
AMXVF.OB	America Movil S.A.B. De C.V.
AMYGF.OB	Amaya Gaming Group
AMYZF.OB	American Manganese Inc.
AMZG.OB	American Eagle Engy
AMZGD.OB	American Eagle Engy
AMZKF.OB	Automodular Corp
AMZO.OB	Amazon Biotech Inc
ANARF.OB	Adriana Resources
ANCCF.OB	Ansell Cap Corp
ANCJQ.OB	Anc Rental Corp
ANCKF.OB	Minara Resources Ltd
ANCPB.OB	Anacomp Inc B
ANCRF.OB	Angoss Software New
ANCS.OB	American Consumers I
ANCUF.OB	Alimentat Cou Subvtg
ANDR.OB	Andritz Ag
ANEWF.OB	Australia & N Z Bkg
ANFC.OB	Ante5 Inc
ANFGF.OB	Antofagasta Plc Ord
ANFGY.OB	Antofagasta  Plc Spn
ANGC.OB	Angeles Corp
ANGGF.OB	Angang Steel Co Ltd
ANGGY.OB	Angang Stl Spadr
ANGLF.OB	Anglo Aluminum
ANGUF.OB	Anglo-Canadian Urani
ANGZF.OB	Angle Energy Inc.
ANIMF.OB	Animas Res Ltd Com
ANLDP.OB	Amer Land Lease Pfd
ANLKY.OB	Alkane Res Ltd
ANMCF.OB	Andean Amer Mining C
ANNO.OB	American Nano Silicn
ANPDF.OB	Anta Sports Prod Ltd
ANPI.OB	Angiotech Pharmaceuticals Inc.
ANPIQ.OB	Angiotech Pharmaceuticals Inc.
ANPZ.OB	American Restaurant
ANRGF.OB	Alter Nrg Corp Com
ANRUF.OB	American Naturl Ener
ANSVQ.OB	Anesiva Inc
ANTEL.OB	Atlantic City Elec C
ANTEO.OB	Atlantic City Elec 4
ANTS.OB	Ants Software Inc
ANTX.OB	Acunetx Inc
ANTZF.OB	Antioqua Gold Inc
ANVH.OB	The Anviron Holding
ANVS.OB	Anv Sec Group Inc.
ANWM.OB	Anywhere Md Inc
ANXGF.OB	Anaconda Mining Inc
ANZBY.OB	Australia And New Ze
AOGC.OB	Australian Oil & Gas
AOGN.OB	Avalon Oil & Gas Inc
AOIFF.OB	Africa Oil Corp.
AOLS.OB	Aeolus Pharmaceuticl
AOMFF.OB	Alstom Shs Prov Regr
AOMOY.OB	Ao Mosenergo Spons A
AONNY.OB	Aeon Co Ltd Adr
AOOR.OB	Apollo Resources International Inc.
AORGF.OB	Argos Resources Ltd
AOSDF.OB	Alberta Oilsands Inc
AOTL.OB	Aerotelesis Inc
AOTOF.OB	Anoto Group Ab Sek
AOUFF.OB	Aldrin Resource
AOVTF.OB	Andover Ventures Inc
AOXY.OB	Advanced Oxygen Tech
APAB.OB	Appalachian Bancshs
APAFF.OB	Apella Resources Inc
APAJF.OB	Apa Group
APBA.OB	American Principle Bank
APBRF.OB	Asia Pacific Brewery
APCDF.OB	A Cap Rsrcs Ltd
APCSF.OB	Alda Pharm Corp
APCU.OB	Apc Group Inc.
APCX.OB	Apptech Corp
APDAF.OB	Arpida Ag Muenchenst
APDN.OB	Applied Dna Sciences
APELY.OB	Alps Electric Ltd Ad
APEMY.OB	Aperam
APEOF.OB	Americas Petrogas Inc.
APEUF.OB	Archer Petroleum
APGA.OB	American Paramount
APHY.OB	Assured Pharmacy Inc
APII.OB	Action Prod Intl I
APIT.OB	Aspire Intl Inc
APKN.OB	Airportek Intl New
APLCY.OB	Amlin Pld Adr
APLD.OB	Applied Science Prod
APLI.OB	Apollo Cap Group Inc
APLL.OB	Apolo Gold & Energy
APLVF.OB	Ap Alternative Units
APMFF.OB	Amerix Precious Meta
APMZF.OB	Ampella Mining Ltd
APNC.OB	Access Plans Inc
APNHF.OB	Aspen Pharmacare Hld
APNHY.OB	Aspen Pharmacare
APNI.OB	Alpine Group Inc
APNT.OB	Applied Nanotech Hld
APNX.OB	Alpine Air Express Inc
APPWM.OB	Appalachian Pwr 4 1/2 Pfd
APQUF.OB	Aqm Copper Inc.
APRAF.OB	Accelrate Power Sys
APRCP.OB	Alabama Pwr 4.52 Pfd
APRDM.OB	Alabama Pwr 4.92 Pd
APRDN.OB	Alabama Pwr 4.20 Pd
APRDP.OB	Alabama Pwr 4.72 Pd
APRJ.OB	American Cap Partnrs
APRM.OB	American Pacific Rim
APRO.OB	Allegiant Professional Business Services Inc.
APRU.OB	Apple Rush Company Inc
APRUQ.OB	Apple Rush Company Inc
APSN.OB	Applied Neurosolutns
APSOQ.OB	Applied Solar Inc
APTCF.OB	Advanced Proteome Th
APTD.OB	Alphatrade.Com
APTI.OB	American Post Tensn
APTOF.OB	Aptilon Corp
APVE.OB	A S P Ventures Corporation
APVNF.OB	Arise Technologies C
APVQF.OB	Absolute Private Equ
APVS.OB	Guardian Tech Intl
APWL.OB	Advanced Powerline
APXG.OB	Apextalk Hldgs Inc
APXMF.OB	Apex Minerals Nl
APXR.OB	Apex Resources Group Inc.
APYI.OB	Aspyra Inc
APYRF.OB	Allied Pptys R E Inv
AQARF.OB	Aquila Resources Inc
AQAS.OB	Aqua Society Inc
AQBKF.OB	Av Jennings Home Ltd
AQCP.OB	Aq Cp W/I
AQIS.OB	Aquis Communications Group Inc
AQLRF.OB	Aquila Resources Limited
AQNM.OB	Aquentium Inc
AQOGF.OB	Algonquin Oil & Gas
AQPBF.OB	Aquarius Platinum Lt
AQPTY.OB	Aquarius Platinum Ad
AQPVF.OB	Aqua Pure Ventures Inc
