Symbol	Description
DOD.V	Diamond Frank Exploration Inc
DOG.V	Blackdog Resources Ltd.
DOH.V	3P International Energy Corp.
DON.V	Donner Metals Ltd.
DOR.V	Dianor Resources Inc.
DOS.V	Dios Exploration Inc
DOT.V	Dot Resources Ltd.
DOX.V	Dorex Minerals Inc
DPH.V	Duncan Park Holdings Com
DRI.V	Dorato Resources Inc.
DRK.V	Derek Oil & Gas Corporation
DRL.V	Diadem Resources Ltd
DRU.PR..V	DRUK CAPITAL PARTNERS INC
DRV.V	Duran Ventures Inc.
DSM.V	Dacha Strategic Metals Inc
DSS.V	Cornerstone Capital Res Inc
DSY.V	Destiny Media Technologies Inc
DTA.V	Dentonia Resources Ltd.
DTC.V	Datex Technologies Corporation
DUN.V	Dundee Mines Ltd
DUR.V	Delta Uranium Inc
DVC.H.V	Devin Energy Corporation
DVN.V	Discovery Ventures Inc
DVO.PR..V	DENOVO CAP CORP COM NPV
DVT.V	Divestco Inc Cl A Shs
DXA.V	Doxa Energy Ltd
DXE.V	Dualex Energy International Inc
DXX.V	Dxstorm.Com Inc
DYA.V	Dynamic Fuel Systems Inc.
DYG.V	Dynasty Gold Corp.
DYU.V	Dawson Gold Corp Com
EAG.V	Eagle Hill Exploration Corp
EAR.V	Everett Resources Ltd
EAS.V	East Asia Minerals Corporation
EBN.V	Epicore Bionetworks Inc.
EBY.V	Emerald Bay Energy Inc
EC.V	Ecometals Limited
ECC.V	Ethos Capital Corp
ECL.V	Ecl Enviroclean Ventures Ltd
ECR.V	Cartier Resources Inc
ECX.V	Eastcoal Inc
EDE.V	Edge Resources Inc
EDG.V	Endurance Gold Corporation
EDU.V	Edleun Group Inc
EDW.V	Edgewater Exploration Ltd
EEL.V	Eaglecrest Explorations Ltd.
EEN.V	Estrella Intl Energy Svcs Ltd
EER.V	Enterprise Energy Resources Ltd
EES.H.V	Ecomax Energy Services Ltd
EEV.V	E-Energy Ventures Inc.
EFG.V	First Gold Exploration Inc
EFT.V	Eft Canada Inc
EGC.H.V	E.G. Capital Inc.
EGD.V	Energold Drilling Corp.
EGE.V	Eagle Star Petroleum Corp
EGM.V	Excel Gold Mining Inc
EGN.V	Engineering.Com Incorporated [T
EGT.V	Escape Gold Inc.
EGZ.V	Energizer Resources Inc
EIC.V	Eagle I Capital Corporation
EIL.V	Empire Industries Ltd
EKD.V	Epic Data International Inc
EKG.V	Cardiocomm Solutions Inc.
ELG.V	Elgin Mining Inc
ELN.V	El Nino Ventures Inc.
ELO.V	Eloro Resources Ltd.
ELS.V	El Tigre Silver Corp
ELT.V	Electra Gold Ltd.
ELW.V	Elkwater Resources Ltd
