Symbol	Description
DSIR.IDX	DJ US INSURANCE
DSIS.IDX	DJ US SUPPORTSRV
DSIT.IDX	DJ US INDSTTRANS
DSIU.IDX	DJ US REINSURAN
DSIV.IDX	DJ US BUSSUPSRV
DSIX.IDX	DJ US NLIFEINSUR
DSLE.IDX	DJ US LEISGOODS
DSLG.IDX	DJ US HOTELS
DSLW.IDX	DJ US LOWCAP
DSMC.IDX	DJ US HCREQPSRV
DSME.IDX	DJ US MEDIA
DSMF.IDX	DJ US MORTGFIN
DSMG.IDX	DJ US MINING
DSMR.IDX	U.S. Mortgage REITs Index
DSMS.IDX	DJ US MDSUPPLIES
DSMT.IDX	DJ US MARTRANSPT
DSMU.IDX	DJ US MULUTILTES
DSNC.IDX	DJ US CONSUMGDS
DSNF.IDX	DJ US NONFERMET
DSNG.IDX	DJ US PERHLDGDS
DSNS.IDX	DJ US INTERNET
DSOE.IDX	DJ US ELECOFFEQP
DSOG.IDX	DJ US OILGAS
DSOI.IDX	DJ US OILEQPSRV
DSOL.IDX	DJ US INTGOILGAS
DSOQ.IDX	DJ US OILEQPSRV
DSOS.IDX	DJ US EXPLPROD
DSPB.IDX	DJ US PUBLISHING
DSPC.IDX	DJ US WSTDSPSRV
DSPG.IDX	DJ US PERSGOODS
DSPL.IDX	DJ US PIPELINES
DSPM.IDX	DJ US GOLDMNG
DSPN.IDX	DJ US PHARMBIO
DSPP.IDX	DJ US PAPER
DSPR.IDX	DJ US PHARMCTCLS
DSPT.IDX	DJ US PLTPRECMET
DSRA.IDX	DJ US APPRLRET
DSRB.IDX	DJ US BRDLNRET
DSRD.IDX	DJ US DRUGRET
DSRE.IDX	U.S. Real Estate Index
DSRH.IDX	DJ US RESTHLDG
DSRI.IDX	DJ US RESTINVTR
DSRL.IDX	U.S. Retail REITs Index
DSRN.IDX	U.S. Residential REITs Index
DSRP.IDX	DJ US RECPRODUCT
DSRQ.IDX	DJ US RECSERVICE
DSRR.IDX	DJ US RAILROADS
DSRS.IDX	DJ US SPLTYRET
DSRT.IDX	DJ US RETAIL
DSRU.IDX	DJ US RESTRBARS
DSSB.IDX	DJ US INVSRV
DSSC.IDX	DJ US SEMCNDCTRS
DSSD.IDX	DJ US SOFTDRINKS
DSSF.IDX	DJ US CONSUMFIN
DSSP.IDX	DJ US SPECIALFIN
DSSR.IDX	U.S. Specialty REITs Index
DSST.IDX	DJ US STEEL
DSSV.IDX	DJ US SFTCPTRSRV
DSSW.IDX	DJ US SOFTWARE
DSTB.IDX	DJ US TOBACCO
DSTC.IDX	DJ US TECHNOLOGY
DSTK.IDX	DJ US TRUCKING
DSTL.IDX	DJ US TELECOM
DSTP.IDX	DJ US TOPCAP
DSTQ.IDX	DJ US TECHHRDEQ
DSTR.IDX	DJ US TIRES
DSTS.IDX	DJ US TRANSSRV
DSTT.IDX	DJ US TRVLTOUR
DSTY.IDX	DJ US TOYS
DSUO.IDX	DJ US GASWTRMUT
DSUT.IDX	DJ US UTILITIES
DSVE.IDX	U.S. Conventional Electricity Index
DSVN.IDX	DJ US DISVINTNER
DSWC.IDX	DJ US MOBTELECOM
DSWU.IDX	DJ US WATER
DTCI.IDX	DJ COMPREIT TR
DTEI.IDX	DJ EQUITYREIT TR
DTFI.IDX	Dow Tran Stocks Above 50-Day Average
DTFX.IDX	CME FX Index
DTOF.IDX	Dow Tran Stocks Above 150-Day Average
DTOH.IDX	Dow Tran Stocks Above 100-Day Average
DTTH.IDX	Dow Tran Stocks Above 200-Day Average
DTTW.IDX	Dow Tran Stocks Above 20-Day Average
DTWC.IDX	DJ COMPAVGTR
DTWI.IDX	DJ INDUS AVG TR
DTWT.IDX	DJ TRANSAVGTR
DTWU.IDX	DJ UTILITYAVGTR
DUBS.IDX	DJ UBS COMMODITY INDEX
DUFI.IDX	Dow Util Stocks Above 50-Day Average
DUOF.IDX	Dow Util Stocks Above 150-Day Average
DUOH.IDX	Dow Util Stocks Above 100-Day Average
DUSL.IDX	DJ US LRGCAP
DUSM.IDX	DJ US MIDCAP
DUSS.IDX	DJ US SMLCAP
DUTH.IDX	Dow Util Stocks Above 200-Day Average
DUTW.IDX	Dow Util Stocks Above 20-Day Average
DVAA.IDX	S&P 500 FORWARD DIVD - 2010
DVAB.IDX	S&P 500 FORWARD DIVD - 2011
DVCA.IDX	AMEX DECLINING VOLUME
DVCD.IDX	OTC DECLINING VOLUME
DVCE.IDX	ETFS  Declining Volume
DVCN.IDX	NYSE DECLINING VOLUME
DVCQ.IDX	NASD DECLINING VOLUME
DVDE.IDX	IMPLIED FORWARD DVS DECEMBER
DVG.IDX	MERGENT DIV ACHV SEL IND
DVJN.IDX	IMPLIED FORWARD DVS JUNE
DVMR.IDX	IMPLIED FORWARD DVS MARCH
DVS.IDX	S&P 500 DIVIDEND INDEX - 10X
DVST.IDX	IMPLIED FORWARD DVS SEPTEMBER
DWC.IDX	DJ Wilshire 5000 Index (Full Cap)
DWCB.IDX	DJ US BANKS TOTAL INDEX
DWE.IDX	DYNAMIC ENERGY EXPLORATION & PR
DWJ.IDX	DYNAMIC IURANCE INTELLIDEX
DWO.IDX	DYNAMIC OIL SERVICES INTELLIDEX
DWR.IDX	DYNAMIC RETAIL INTELLIDEX
DWU.IDX	DYNAMIC UTILITIES INTELLIDEX
DWY.IDX	DYNAMIC TELECOMMUNICATION & WIR
DXE.IDX	AMEX Deutsche Bank Energy Index
DXG.IDX	AMEX
DXS.IDX	SPADE DEFEE
DXY.IDX	DOLLAR INDEX
