Symbol	Description
BMO.PR.V.TO	Bank Of Montreal Pfd V
BNA.PR.B.TO	BNN Split Cp AA Pfd B
BNA.PR.C.TO	BAM SPLIT CORP CL AA SER3
BNA.PR.D.TO	BAM SPLIT CORP
BNA.PR.E.TO	BAM SPLIT CORP PFD
BNC.TO	Bioniche Life Scie Com Npv
BND.UN.TO	Investment Grade T Trusts Units
BNE.TO	Bonterra Energy Ltd
BNG.TO	Bengal Energy Ltd
BNK.TO	Bankers Pete Ltd
BNK.WT.A.TO	Bankers Pete Wt A J
BNP.TO	Bonavista Energy Corp
BNS.TO	Bk Of Nova Scotia Com Npv
BNS.PR.J.TO	Bank Of Nova Scotia Pfd J
BNS.PR.K.TO	Bank Of Nova Scotia Pfd Srs 13
BNS.PR.L.TO	BANK OF NOVA SCOTIA NC PFD 14
BNS.PR.M.TO	THE BANK OF NOVA SCOTIA PREF S
BNS.PR.N.TO	THE BANK OF NOVA SCOTIA
BNS.PR.O.TO	BANK NOVA SCOTIA HALIFAX
BNS.PR.P.TO	BANK OF NOVA SCOTIA PFD SER 18
BNS.PR.Q.TO	THE BANK OF NOVA SCOTIA
BNS.PR.R.TO	THE BANK OF NOVIA SCOTIA
BNS.PR.T.TO	BANK OF NOVA SCOTIA NON CUM PRF
BNS.PR.X.TO	BANK OF NOVA S
BNS.PR.Y.TO	BNS NCP-30
BOS.TO	Airboss Of Amer Cp Com Npv
BOX.UN.TO	Brookfld Office Prop
BOY.TO	Boyuan Constr Group Inc
BOY.DB.A.TO	Boyuan Constr 10% Db
BPF.UN.TO	Boston Pizza Royal Trust Units
BPO.TO	Brookfield Propert Com Npv
BPO.PR.F.TO	Brookfield Props AAA Pfd F
BPO.PR.H.TO	Brookfield Props AAA Pfd H
BPO.PR.I.TO	Brookfield Props AAA Pfd I
BPO.PR.J.TO	Brookfield Props AAA Pfd J
BPO.PR.K.TO	Brookfield Props AAA Pfd K
BPO.PR.L.TO	BROOKFIELD PROPERTIES CORP
BPO.PR.N.TO	BROOKFIIELD PROP CORP SRS N
BPO.PR.P.TO	BROOKFIELD PROPERTIES CP PFD
BPO.PR.U.TO	Brookfield Props US$ Pfd G
BPP.PR.G.TO	BPO Properties Ltd Pfd G
BPP.PR.J.TO	BPO Properties Ltd Pfd J
BPP.PR.M.TO	BPO Properties Ltd Pfd M
BPV.TO	Bridgeport Ventures Inc
BPV.WT.TO	Bridgeport Ventures Inc Wts
BPV.WT.A.TO	Bridgeport Ven A Wtj
BQE.TO	Bioteq Environment Com Npv
BR.TO	Big Rock Brewery Inc
BRB.TO	Brick Brewing Com Npv
BRC.UN.TO	Great Lakes Hydro Income Fund
BRD.TO	Brigus Gold Corp
BRD.WT.TO	Brigus Gold Corp Warrants
BRD.WT.A.TO	Brigus Gld Corp Wt A
BRE.TO	Brookfield Real Est Svcs Inc
BRF.PR.A.TO	BROOKFIELD RENEWABLE PWR PFD
BRK.TO	Brick Ltd
BRK.DB.TO	Brick Group 12% Deb
BRK.WT.TO	Brick Group Wt
BSC.TO	Bns Split Corp Ii Cap Shs Cl 'a
BSC.PR.B.TO	BNS SPLIT CIRP II PFD
BSC.WT.TO	Bns Split Corp Ii  Wts
BSD.PR.A.TO	Brascan Soundvest Split Tr Pfd
BSD.UN.TO	Brascan Soundvest Capital Units
BSE.UN.TO	Brookfield Soundvest Equity Fd
BT.UN.TO	Bonnetts Energy S Trust Units
BTE.TO	Baytex
BTO.TO	B2Gold Corp
BU.TO	Burcon Nutrascience Corp
BUC.TO	Bucking Horse Energy Inc
BUI.TO	Buhler Industries Inc
BWC.TO	Bridgewater Systems Corp
BWE.TO	Biowest Therapeutics Inc
BWR.TO	Breakwater Res Inc Com Npv
BWR.WT.A.TO	Breakwater Resources
BX.TO	Biox Corp
BXE.TO	Bellatrix Exp Ltd 7.5% Conv
BXE.DB.A.TO	Bellatrix 4.75% Deb
BXI.TO	Bio-Extraction Inc.
BXS.NT.A.TO	Barclays Bank Nti-10
BYD.UN.TO	Boyd Group Income Trust Units
BZA.TO	Amer Bonanza Gold. Com Npv
CAB.TO	Claymore Advge Canadaian Bond
CAB.A.TO	Claymore Advtge Canadian Bond
CAE.TO	Cae Inc Com Npv
CAI.DB.TO	Canadian Income Management Inc
CAL.TO	Caledonia Mining C Com Npv
CAM.TO	Canam Group Inc Com Npv
CAM.DB.TO	Canam Group Inc 6.25 Debs
CAR.UN.TO	Canadian Apt Pptys Real Esta
CAS.TO	Cascades Inc Com Npv
CAX.TO	Candax Energy Inc Com Npv
CAZ.TO	Caza Oil & Gas Inc
CBB.UN.TO	Copernican British Trust Units
CBD.TO	Claymore Glo Bal Inc
CBD.A.TO	Claymore Global Ba Advisor Clas
CBF.UN.TO	Connors Bros Income Fd
CBN.TO	Claymore Global Ba Common Units
CBN.A.TO	Claymore Global Ba Advisor Clas
CBO.TO	Clymore 1-5 Y
CBO.A.TO	Claymore 1-
CBQ.TO	Claymore Can Bric Sbi Common Un
CBQ.A.TO	Claymore Can Bric Sbi Advisor U
CBR.TO	Claymore Broad Commodity Etf
CBR.A.TO	Claymore Broad Commodity Etf Ad
CBU.TO	First Asset Canbanc Split Corp
CBU.PR.A.TO	FIRST ASSET CANBANC SPLIT CORP
CBW.TO	Copernican World B Com Npv Clas
CBW.PR.A.TO	COPERNICAN WORLD BNK SPLITS IN
CBY.TO	Canada Bread Ltd Com Npv
CCA.TO	Cogeco Cable Inc
CCL.A.TO	Ccl Industries Inc 'A'Com Npv
CCL.B.TO	Ccl Industries Inc 'B'Non-Vtg C
CCM.TO	Canarc Resource Cp Com Npv
CCO.TO	Cameco Corp Com Npv
CCP.UN.TO	Connor Clark & L Unn Prints
CCS.PR.C.TO	CO-OPERATORS GEN INS CO
CCS.PR.D.TO	CO-OPERATORS GENERAL INS CO.
CCZ.TO	Critical
CDD.UN.TO	Core Canandian Div Sbi Npv
CDF.UN.TO	Canadian Conver Debenture Fd
CDG.TO	Candente Gold Corp
CDH.TO	Corridor Resources Inc
CDL.A.TO	Corby Distilleries Vtg Npv
CDL.B.TO	Corby Distilleries Class'B'N/Vt
CDM.TO	Coeur D'Alene Mine Com Usd1
CDS.DB.TO	Cadence Energy Inc.
CDU.TO	Cardero Resource Corp
CDV.TO	Com Dev Intl Com Npv
CDW.UN.TO	Canadian Wireless Trust Units
CDZ.TO	Claymore Cdn Dividend & Income
CDZ.A.TO	Claymore Cad Divi Sbi Advisor U
CEE.TO	Centamin Egypt Npv
CEF.A.TO	Central Fd Of Canada Ltd
CEF.U.TO	Carfino Inc Fd
CEK.TO	Caspian Energy Inc Com Npv
CEK.WT.TO	Caspian Energy Inc
CET.TO	Cathedral Eng Sv T Trust Npv
CEU.TO	Canadian Energy Svcs L P
CEW.TO	Claymore Equal Weight Banc Life
CEW.A.TO	Banc & Lifeco Trust He Fund]
CEZ.TO	Calmena Energy Services Inc.
CF.TO	Canaccord Finl Inc
CFB.TO	Chieftain Metals Inc  Com
CFE.UN.TO	Canadian Energy Conv Deb Fd
CFG.TO	Cluff Gold Plc
CFN.UN.TO	Carfinco Income Fd Trust Units
CFP.TO	Canfor Corporation Com Npv
CFS.TO	Canadian Financial Com Npv Clas
CFS.PR.A.TO	CANADIAN  FINANCIAL &    UTIL CO
CFT.TO	Ce Franklin Ltd Com Npv
CFW.TO	Calfrac Well Servi Com Npv
CFX.TO	Canfor Pulp Products
CG.TO	Centerra Gold Inc Com Npv
CGA.TO	Cga Mining Limited Npv
CGC.TO	Capital Gold Corp
CGG.TO	China Gold Int Resources Corp.
CGI.TO	Cdn General Invest Com Npv
CGI.PR.B.TO	Canadian General Inv 465% B
CGI.PR.C.TO	Canadian General Investments 39% Class A Preferred Series 3
CGL.TO	Claymore Gold Bullion Etf
CGO.TO	Cogeco Inc
CGQ.TO	Capital Gains Inco Capital Shs
CGQ.E.TO	Capital Gains Income Streams Co
CGR.TO	Claymore Global Rl Est Etf
CGR.A.TO	Claymore Global Real Estate Etf
CGX.TO	Cineplex Inc
CGX.DB.TO	Cineplex Galaxy Incm Fd 6.0% Co
CHB.TO	Claymore Adv High Yield Bd Etf
CHB.A.TO	Claymore Adv High Yield Bd Etf
CHE.DB.TO	Chemtrade Logistics Fd 6.0 Deb
CHE.UN.TO	Chemtrade Logistic Trust Units
CHH.TO	Centric Health Corporation
CHI.TO	Claymore China Etf
CHI.A.TO	Claymore China Etf Advisor Clas
CHL.A.TO	Canadian Helicopters Group Inc
CHL.B.TO	Canadian Helicopters Group Inc
CHM.TO	Champion Minerals Inc
CHR.A.TO	Chorus Aviation Inc
CHR.B.TO	Chorus Aviation Inc
CHR.DB.TO	Chorus Aviation Inc Deb
CHW.TO	Chesswood Inc Fd
CIB.TO	Claymore Inverse 10 Yr Govt Bon
CIC.TO	Canbanc Income Corp
CIE.TO	Claymore Intl Fund Common Units
CIE.A.TO	Claymore Intl Fund Advisor Clas
CIF.TO	Claymore Global Infrastructure
CIF.A.TO	Claymore Global Adv Cl
CIP.UN.TO	Ci Master Ltd Part Limited Part
CIQ.UN.TO	Canadian High Inc Equity Fd
CIQ.WT.TO	Canadian High Inc Equity Fd
CIR.TO	Copernican Intl Fi Com Npv Clas
CIR.PR.A.TO	COPERNICAN INTL FINL SPLIT C
CIU.PR.A.TO	CU INC PRD SHR
CIU.PR.B.TO	CU INC
CIU.PR.C.TO	CU INC PFD
CIW.UN.TO	Copernican Wld Fin Trust Units
CIX.TO	Ci Finl Inc
CJP.TO	Claymore Japan Fun Common Units
CJP.A.TO	Claymore Jpn Fund Idx Etf C$ He
CJR.B.TO	Corus Entertainmnt Class 'B' No
CJT.TO	Cargojet Inc
CJT.DB.TO	Cargojet Income Fund 7.5% Cnv S
CKE.TO	Chinook Energy Inc
CKI.TO	Clarke Inc Com Npv
CKI.DB.TO	Clarke Inc 6% Deb
CKI.DB.A.TO	Clarke Inc. 6% Deb A
CLC.TO	Cml Healthcare Inc
CLF.TO	Claymore 1-5 Yr Laddered Gov Bo
CLF.A.TO	Claymore 1-5 Yr Laddered Gov Bo
CLK.TO	Clublink Enterprises Ltd
CLL.TO	Connacher Oil Gas Com Npv
CLL.DB.A.TO	Connacher Oil And Gas Limited
CLM.TO	Consld Thmpson Iron Mines Ltd
CLM.DB.U.TO	Cons Thompson Usdb J
CLO.TO	Claymore Oil Sands Common Units
CLO.A.TO	Claymore Oil Sands Sector Etf
CLQ.TO	Canada Lithium Corp
CLQ.WT.TO	Canada Lithium Corp Warrants
CLR.DB.A.TO	Clearwater 7.25% Deb
CLR.DB.B.TO	Clearwater 10.5% Deb
CLR.UN.TO	Clearwater Seafood Units Npv
CLS.TO	Celestica Inc. Sv
CLT.TO	Celtic Exploration Com Npv
CLU.TO	Claymore US Funda Sbi Common Un
CLU.A.TO	Claymore US Funda Sbi Advisor U
CLU.B.TO	Clymre US Fund Index Etf C$
CLU.C.TO	Claymore US Fund Index Etfc$
CM.TO	Canadian Imp Bank Com Npv
CM.PR.D.TO	Cdn Imperial Bank Srs 26 Pfd
CM.PR.E.TO	Cdn Imperial Bank Srs 27 Pfd
CM.PR.G.TO	Cdn Imperial Bank Srs 29 Pfd
CM.PR.H.TO	CIBC Cl A Pfd Series 30
CM.PR.I.TO	CANADIAN IMPERIAL BANK OF COMME
CM.PR.J.TO	CANADIAN IMPERIAL BNK OF COMMR
CM.PR.K.TO	CDN IMPERIAL BK OF COMMERCE
CM.PR.L.TO	CANADIAN IMPER
CM.PR.M.TO	CANADIAN IMPERIAL BANK OF COMM
CM.PR.P.TO	Cdn Imperial Bank Srs 18 Pfd
CMG.TO	Computer Modelling Group
CMH.TO	Carmanah Techs Cor Com Npv
CMK.TO	Cline Mining Corp Com Npv
CML.TO	Croflight Minerals Inc
CMP.UN.TO	Cmp Gold Tr Units
CMR.TO	Clymre Prem Money Market Etf
CMT.TO	Compton Petroleum Com Npv
CMT.WT.TO	Compton Petroleum Corp
CMW.TO	Claymore S&P/Tsx G Commun Unit
CMW.A.TO	Claymore S&P/Tsx G Advisor Clas
CMZ.UN.TO	Compass Income Fun Trust Units
CNH.TO	Cinch Energy Corp Com Npv
CNJ.TO	Cangene Corp Com Npv
CNL.TO	Continental Gold Ltd
CNL.WT.TO	Continental Gold Ltd Wts
CNM.UN.TO	Canadian Income Management Trus
CNM.WT.TO	Canadian Income Management Trus
CNQ.TO	Cdn Nat Res Com Npv
CNR.TO	Cdn Natl Railways Com Npv
CNV.UN.TO	Convertible & Yiel Units
COA.TO	Coastal Constacts Inc
COM.TO	Cardiome Pharma Co Com Npv
COP.TO	Coro Mining Com Npv
COS.TO	Canadian Oil Sands
COW.TO	Claymore Global Agriculture
COW.A.TO	Claymore Global Agriculture
COX.UN.TO	Coxe Commodity Strategy Fund Cl
