Symbol	Description
A54.SI	Adv Integrated Mfg Corp Ltd
A55.SI	Asia Enterprises Holding Ltd
A58.SI	Asia Environment Holdings Ltd
A59.SI	Action Asia Limited
A61.SI	Luye Pharma Group Ltd.
A68U.SI	Ascott Residence Trust
A69.SI	Azeus Systems Holdings Ltd.
A6F.SI	Unionmet (singapore) Limited
A75.SI	Ace Achieve Infocom Limited
A78.SI	The Think Environmental Co Ltd
A7RU.SI	Cityspring Infrastruct Trust
A7S.SI	Sunvic Chemical Holdings Ltd
A8J.SI	China Farm Equipment Limited
A8KW.SI	Compactmetalindustries W120213
A9A.SI	Lyxor Msci Taiwan Index Fund10
A9B.SI	Lyxor Hang Seng Index Fund 10
AD7.SI	China Bearing (singapore) Ltd.
AD8.SI	Sino Techfibre Limited
AI1.SI	Texchem-pack Holdings (s) Ltd.
AJ1.SI	Straits Asia Resources Limited
AJ2.SI	Ouhua Energy Holdings Limited
AK3.SI	Swiber Holdings Limited
AM3.SI	Gems Tv Holdings Limited
AO9.SI	Lyxor Korea 10
AP4.SI	Riverstone Holdings Limited
AS5.SI	Hsu Fu Chi International Ltd
AU8U.SI	Capitaretail China Trust
AV5.SI	Chemoil Energy Limited
AW9U.SI	First Real Estate Inv Trust
B03.SI	Brc Asia Limited
B07.SI	Next-gen Satellite Comm Ltd
B08.SI	British & Malayan Trustees Ltd
B0I.SI	Foreland Fabrictech Hlds Ltd
B0Z.SI	China Fishery Group Limited
B10.SI	Boardroom Limited
B16.SI	Guocoleisure Limited
B19.SI	Beyonicstechnology Limited
B1N.SI	Delong Holdings Limited
B1ZU.SI	Rickmers Maritime
B20.SI	Biosensors Int'l Group, Ltd.
B22.SI	Bio-treat Technology Limited
B26.SI	Ban Leong Technologies Limited
B28.SI	Bonvests Holdings Ltd
B2F.SI	M1 Limited
B2VW.SI	Eastgate Technology W120514
B2W.SI	Total Access Comm Pub Co Ltd
B2X.SI	China Yuanbang Prop Hldgs Ltd
B32.SI	Bh Global Marine Limited
B3C.SI	China Print Power Group Ltd
B49.SI	Bright World Precision Mac Ltd
B4PW.SI	Upp Holdings W120529
B58.SI	Banyan Tree Holdings Limited
B61.SI	Bukit Sembawang Estates Ltd
B64.SI	Berger International Limited
B66.SI	Pt Berlian Laju Tanker Tbk
B69.SI	Broadway Industrial Group Ltd
B73.SI	Global Investments Limited
B7K.SI	Sin Ghee Huat Corporation Ltd.
B9R.SI	China Xlx Fertiliser Ltd.
B9S.SI	Cosmosteel Holdings Limited
BN2.SI	Valuetronics Holdings Limited
BN4.SI	Keppel Corporation Limited
BR9.SI	China Hongxing Sports Limited
BS6.SI	Yangzijiang Shipbldg Hldgs Ltd
BU5U.SI	Aims Amp Cap Industrial Reit
C02.SI	Compact Metal Industries Ltd
C03.SI	China Merchants Prop Devtcoltd
C04.SI	Casa Holdings Limited
C05.SI	Chemical Industries (f.e.) Ltd
C06.SI	Csc Holdings Ltd
C07.SI	Jardine Cycle & Carriage Ltd
C09.SI	City Developments Limited
C0Z.SI	China Hongcheng Holdings Ltd
C10.SI	Chosen Holdings Limited
C11.SI	Cei Contract Manufacturing Ltd
C13.SI	Ch Offshore Ltd
C14.SI	Cwt Limited
C16.SI	Chinasing Investment Hldg Ltd
C20.SI	Cerebos Pacific Limited
C22.SI	China Merchants Hldgs(pacific)
c29.SI	Chip Eng Seng Corporation Ltd
C2J.SI	Sunmart Holdings Limited
C2PU.SI	Parkwaylife Reit
C31.SI	Capitaland Limited
C33.SI	Chuan Hup Holdings Limited
C35.SI	Creative Master Bermuda Ltd
C36.SI	Cht (holdings) Ltd.
C37.SI	China International Hldgs Ltd
C38U.SI	Capitamall Trust
C3T.SI	Uni-asia Finance Corporation
C41.SI	Cortina Holdings Limited
C49.SI	Centillion Env & Recyc Limited
C4P.SI	Liang Huat Aluminium Ltd
C50.SI	Cheung Woh Technologies Ltd
C52.SI	Comfortdelgro Corporation Ltd
C56.SI	Celestial Nutrifoods Limited
C59.SI	China Flexible Pack Hldg Ltd
C60.SI	Amplefield Limited
C61U.SI	Capitacommercial Trust
C68.SI	Mirach Energy Limited
C6L.SI	Singapore Airlines Ltd
C6U.SI	Singapore Airlines Ltd 200
C70.SI	City Developments Ltd Nccps
C71.SI	China Paper Holdings Limited
C76.SI	Creative Technology Ltd
C7B.SI	Japan Land Limited
C86.SI	China Sun Biochem Tech Gp Co.
C8R.SI	Jiutian Chemical Group Limited
C92.SI	China Haida Ltd.
C9Q.SI	Sinostar Pec Holdings Limited
CB6W.SI	Firstlink Inv Corp Ltd W120614
CC3.SI	Starhub Ltd
CH8.SI	China Sunsine Chem Hldgs Ltd.
CL7.SI	R H Energy Ltd.
CL8.SI	China Angel Food Limited
CL9.SI	Financial One Corp.
CO0.SI	Cmz Holdings Ltd.
CP7.SI	Wanxiang International Limited
CT1.SI	Avi-tech Electronics Limited
CU7.SI	Map Technology Hldgs Limited
CW4.SI	Lyxor Japan (topix) Fund 10
CX5.SI	Yong Xin Intl Holdings Ltd.
CY6U.SI	Ascendas India Trust
CZ3.SI	Reyphon Agriceutical Limited
CZ4.SI	Dutech Holdings Limited
D01.SI	Dairy Farm Int'l Holdings Ltd
D03.SI	Del Monte Pacific Limited
D04.SI	Datapulse Technology Limited
D05.SI	Dbs Group Holdings Ltd
D07.SI	Spdr Djia Etf Trust
D08.SI	Devotion Energy Group Limited
D11.SI	Design Studio Furniture Mfrltd
D14.SI	Dbsbank S$1.1b6% Ncps
D1R.SI	Ara Asset Management Limited
D2S.SI	Sc Global Developments Ltd
D2U.SI	Cacola Furniture Intl Limited
D2V.SI	Changtian Plastic & Chem Ltd
D38.SI	Cdw Holding Limited
D3W.SI	Sinotel Technologies Ltd.
D4N.SI	China New Town Devt Co Limited
D50.SI	China Great Land Holdings Ltd.
D5IU.SI	Lippo-mapletreeindoretailtrust
D5N.SI	Z-obee Holdings Limited
D6U.SI	Dynamic Colours Limited
D6XW.SI	Firstlink Inv Corp Ltd W121130
D79.SI	C&g Env Protect Hldgs Ltd
D8DU.SI	First Ship Lease Trust
D9UW.SI	Yongnam Holdings Ltd W121214
DC9.SI	Fuxing China Group Limited
DK2.SI	Fibrechem Technologies Ncps
DM0.SI	Psc Corporation Ltd
DT2.SI	China Oilfield Tec Svcs Grpltd
DU4.SI	Mermaid Maritime Public Co Ltd
DZ8U.SI	Saizen Real Estate Inv Trust
E02.SI	Eu Yan Sang International Ltd
E04.SI	Eagle Brand Holdings Ltd
E05.SI	Eastgate Technology Ltd
E08.SI	Eastern Asia Technology Ltd
E09.SI	Vgo Corporation Limited
E13.SI	Ellipsiz Ltd
E15.SI	Transcu Group Limited
E16.SI	Elec & Eltek Int Co Ltd
E17.SI	Excelpoint Technology Ltd
E18.SI	Ecs Holdings Limited
E23.SI	Europtronic Group Ltd
E25.SI	8telecom Intl Holdings Co Ltd
E27.SI	Eucon Holding Limited
E28.SI	Frencken Group Limited
E3B.SI	Wee Hur Holdings Ltd.
E3S.SI	Centraland Limited
E5H.SI	Golden Agri-resources Ltd
E5P.SI	The Hour Glass Limited
E6A.SI	Yongmao Holdings Limited
E6D.SI	Raffles Education Corp Limited
E6E.SI	Sound Global Ltd.
E6R.SI	Samko Timber Limited
E8Z.SI	Roxy-pacific Holdings Limited
E90.SI	China Sky Chem Fibre Co., Ltd.
E91.SI	Courage Marine Group Limited
E92.SI	C & O Pharm Tech (hldgs) Ltd
E94.SI	Lizhong Wheel Group Ltd.
E9A.SI	Li Heng Chem Fibre Tech Ltd
E9L.SI	Joyas International Hldgs Ltd
E9YW.SI	Rbs Zpc Bricifr110223
EB5.SI	First Resources Limited
EB7.SI	Ktl Global Limited
EE6.SI	Mercator Lines (singapore) Ltd
EG0.SI	Jes International Holdings Ltd
EH5.SI	United Overseas Australia Ltd
EP4.SI	China Animal Healthcare Ltd.
ER0.SI	Ksh Holdings Limited
ES3.SI	Sti Etf
F01.SI	Freight Links Express Holdings
F03.SI	Food Empire Holdings Limited
F06.SI	Sunmoon Food Company Limited
F07.SI	Fds Networks Group Ltd
F10.SI	F J Benjamin Holdings Ltd
F11.SI	Fung Choi Media Group Limited
F12.SI	Fibrechem Technologies Limited
F13.SI	Fu Yu Corporation Ltd
F17.SI	Guocoland Limited
F18.SI	Full Apex (holdings) Limited
